"ID, Time, Pressure",Temperature,Humidity,Wind_direction,Wind_speed
1,2022-01-22 13:14:17,1024.9,5.0,62,225,0.0
2,2022-01-22 13:23:17,1024.7,5.0,62,225,0.0
3,2022-01-22 13:32:17,1024.7,5.0,62,248,0.0
4,2022-01-22 13:41:18,1024.6,5.6,62,225,0.4
5,2022-01-22 13:51:18,1024.8,5.6,60,180,0.0
6,2022-01-22 14:01:17,1024.8,5.6,60,180,0.0
7,2022-01-22 14:10:17,1024.9,5.0,61,202,0.0
8,2022-01-22 14:19:17,1024.9,5.0,62,225,0.0
9,2022-01-22 14:29:17,1024.8,5.6,61,202,0.0
10,2022-01-22 14:38:17,1024.9,5.6,60,180,0.0
11,2022-01-22 14:47:27,1024.9,5.6,59,202,0.0
12,2022-01-22 14:57:17,1024.9,5.6,60,180,0.0
13,2022-01-22 15:06:17,1024.9,5.6,60,225,0.0
14,2022-01-22 15:15:18,1025.0,5.6,61,180,0.0
15,2022-01-22 15:25:18,1024.8,5.6,62,225,0.0
16,2022-01-22 15:34:18,1024.9,5.0,62,270,0.0
17,2022-01-22 15:44:16,1025.1,5.0,63,225,0.0
18,2022-01-22 15:53:17,1025.2,5.0,63,225,0.0
19,2022-01-22 16:02:17,1025.3,4.4,63,270,0.0
20,2022-01-22 16:11:19,1025.3,3.9,65,270,0.0
21,2022-01-22 16:21:18,1025.2,3.9,66,225,0.0
22,2022-01-22 16:31:27,1025.3,3.3,67,225,0.0
23,2022-01-22 16:41:17,1025.2,3.3,68,270,0.0
24,2022-01-22 16:50:17,1025.4,3.3,69,270,0.0
25,2022-01-22 16:59:18,1025.3,2.8,70,202,0.0
26,2022-01-22 17:09:18,1025.4,2.8,70,225,0.0
27,2022-01-22 17:18:18,1025.4,2.8,71,315,0.0
28,2022-01-22 17:28:17,1025.6,2.2,71,270,0.0
29,2022-01-22 17:37:17,1025.6,2.2,71,270,0.0
30,2022-01-22 17:46:17,1025.7,2.2,71,270,0.0
31,2022-01-22 17:55:27,1025.7,2.2,71,248,0.0
32,2022-01-22 18:05:28,1025.9,2.2,71,270,0.0
33,2022-01-22 18:15:27,1026.0,2.2,71,270,0.0
34,2022-01-22 18:24:27,1025.9,2.2,71,248,0.0
35,2022-01-22 18:34:17,1026.1,2.2,71,315,0.0
36,2022-01-22 18:43:28,1026.1,2.2,71,270,0.0
37,2022-01-22 18:53:17,1026.2,2.2,71,225,0.0
38,2022-01-22 19:02:17,1026.2,2.2,72,270,0.0
39,2022-01-22 19:11:17,1026.5,2.2,72,0,0.0
40,2022-01-22 19:20:17,1026.5,2.2,72,0,0.0
41,2022-01-22 19:30:17,1026.4,1.7,72,270,0.0
42,2022-01-22 19:39:17,1026.7,1.7,72,45,0.0
43,2022-01-22 19:48:18,1026.7,1.7,72,315,0.0
44,2022-01-22 19:58:18,1027.0,1.7,73,270,0.0
45,2022-01-22 20:08:16,1027.1,1.7,73,315,0.0
46,2022-01-22 20:17:16,1027.1,1.7,73,338,0.0
47,2022-01-22 20:26:18,1027.2,1.7,73,0,0.0
48,2022-01-22 20:36:16,1027.2,1.7,72,0,0.0
49,2022-01-22 20:45:19,1027.6,1.7,72,22,0.0
50,2022-01-22 20:55:18,1027.5,2.2,71,45,0.9
51,2022-01-22 21:04:27,1027.8,2.2,70,45,1.3
52,2022-01-22 21:14:17,1027.8,2.2,67,90,0.9
53,2022-01-22 21:23:18,1027.8,2.2,66,45,1.8
54,2022-01-22 21:32:18,1027.8,2.2,65,90,0.9
55,2022-01-22 21:42:18,1028.0,2.2,65,0,0.0
56,2022-01-22 21:52:16,1028.0,2.2,65,45,0.0
57,2022-01-22 22:01:17,1028.0,2.2,65,90,0.0
58,2022-01-22 22:11:19,1028.4,2.2,65,135,0.0
59,2022-01-22 22:21:18,1028.5,2.2,66,135,0.0
60,2022-01-22 22:31:17,1028.4,2.2,65,90,0.0
61,2022-01-22 22:40:18,1028.2,2.2,65,22,0.0
62,2022-01-22 22:49:18,1028.4,2.2,65,45,0.4
63,2022-01-22 22:59:28,1028.8,2.2,64,45,0.0
64,2022-01-22 23:09:28,1028.7,2.2,64,0,0.0
65,2022-01-22 23:19:16,1028.6,2.2,64,90,0.0
66,2022-01-22 23:28:17,1028.6,2.2,64,0,0.0
67,2022-01-22 23:37:17,1028.7,2.2,64,0,0.9
68,2022-01-22 23:46:27,1028.5,2.2,64,0,0.4
69,2022-01-22 23:56:18,1028.9,2.2,63,338,0.0
70,2022-01-23 00:06:26,1028.9,1.7,63,270,0.0
71,2022-01-23 00:16:17,1028.7,1.7,65,0,0.0
72,2022-01-23 00:26:16,1028.8,1.7,65,315,0.0
73,2022-01-23 00:35:17,1028.9,1.1,65,315,0.0
74,2022-01-23 00:44:17,1028.7,1.7,66,0,0.0
75,2022-01-23 00:53:18,1028.7,1.1,66,315,0.0
76,2022-01-23 01:02:27,1028.9,1.1,66,270,0.0
77,2022-01-23 01:12:27,1029.1,1.1,67,270,0.0
78,2022-01-23 01:21:27,1029.2,0.6,68,270,0.0
79,2022-01-23 01:31:16,1029.1,0.6,68,315,0.0
80,2022-01-23 01:40:17,1028.9,0.6,69,315,0.0
81,2022-01-23 01:49:17,1028.8,0.6,69,0,0.0
82,2022-01-23 01:58:28,1028.9,0.6,69,315,0.0
83,2022-01-23 02:07:33,1028.8,0.6,69,0,0.0
84,2022-01-23 02:17:28,1028.8,0.0,70,0,0.0
85,2022-01-23 02:27:16,1028.8,0.0,70,0,0.0
86,2022-01-23 02:36:16,1028.9,0.0,70,0,0.0
87,2022-01-23 02:45:17,1028.9,0.0,70,0,0.0
88,2022-01-23 02:54:17,1028.9,0.0,70,0,0.0
89,2022-01-23 03:03:18,1028.8,0.0,70,0,0.0
90,2022-01-23 03:13:16,1028.7,-0.6,71,338,0.0
91,2022-01-23 03:22:17,1028.9,-0.6,71,0,0.0
92,2022-01-23 03:32:26,1028.8,0.0,71,338,0.0
93,2022-01-23 03:41:26,1028.7,0.0,71,315,0.0
94,2022-01-23 03:51:26,1028.9,0.0,71,0,0.0
95,2022-01-23 04:00:27,1028.9,0.0,71,0,0.0
96,2022-01-23 04:10:18,1029.2,0.0,71,315,0.0
97,2022-01-23 04:20:19,1028.9,0.6,70,315,0.0
98,2022-01-23 04:29:27,1029.1,0.6,70,338,0.0
99,2022-01-23 04:39:30,1029.1,0.6,70,315,0.0
100,2022-01-23 04:49:36,1028.9,0.6,70,0,0.0
101,2022-01-23 04:59:17,1028.9,0.6,70,315,0.0
102,2022-01-23 05:08:17,1029.2,0.6,69,315,0.0
103,2022-01-23 05:17:18,1029.1,0.6,69,315,0.0
104,2022-01-23 05:27:27,1029.2,0.6,69,270,0.0
105,2022-01-23 05:37:17,1029.2,0.6,69,90,0.0
106,2022-01-23 05:46:17,1029.4,1.1,69,90,0.0
107,2022-01-23 05:56:17,1029.5,1.1,69,90,0.0
108,2022-01-23 06:05:18,1029.8,0.6,69,90,0.0
109,2022-01-23 06:14:18,1029.7,0.6,69,90,0.0
110,2022-01-23 06:24:28,1029.9,0.6,70,45,0.0
111,2022-01-23 06:34:17,1030.1,1.1,70,45,0.0
112,2022-01-23 06:43:28,1030.2,1.1,70,0,0.0
113,2022-01-23 06:53:16,1030.3,1.1,70,45,0.0
114,2022-01-23 07:03:17,1030.6,1.1,70,315,0.0
115,2022-01-23 07:12:19,1030.8,0.6,70,90,0.0
116,2022-01-23 07:22:16,1030.8,0.6,70,45,0.0
117,2022-01-23 07:31:16,1031.3,0.6,70,315,0.0
118,2022-01-23 07:40:17,1031.3,0.6,71,315,0.0
119,2022-01-23 07:49:17,1031.1,0.6,71,292,0.0
120,2022-01-23 07:58:18,1031.2,0.6,71,270,0.0
121,2022-01-23 08:08:27,1031.2,1.1,71,270,0.0
122,2022-01-23 08:18:18,1031.3,1.1,70,315,0.0
123,2022-01-23 08:28:17,1031.3,1.7,70,270,0.0
124,2022-01-23 08:37:17,1031.2,2.2,69,270,0.0
125,2022-01-23 08:46:36,1031.2,2.2,68,270,0.0
126,2022-01-23 08:56:17,1031.3,2.2,68,315,0.0
127,2022-01-23 09:05:17,1031.6,2.8,67,270,0.0
128,2022-01-23 09:14:17,1031.6,3.3,66,270,0.0
129,2022-01-23 09:23:17,1031.6,3.9,65,270,0.0
130,2022-01-23 09:32:17,1031.5,4.4,64,270,0.0
131,2022-01-23 09:41:17,1031.8,4.4,63,315,0.0
132,2022-01-23 09:50:17,1032.0,5.6,62,315,0.0
133,2022-01-23 10:00:18,1032.0,6.1,61,225,0.0
134,2022-01-23 10:10:17,1031.9,7.2,58,225,0.0
135,2022-01-23 10:19:17,1031.8,7.2,59,248,0.0
136,2022-01-23 10:28:27,1032.0,6.7,61,225,0.0
137,2022-01-23 10:38:17,1031.9,7.2,61,270,0.0
138,2022-01-23 10:47:27,1032.0,7.2,60,225,0.0
139,2022-01-23 10:57:17,1031.8,7.2,60,180,0.0
140,2022-01-23 11:06:17,1031.7,7.2,61,225,0.0
141,2022-01-23 11:15:39,1031.5,7.2,60,180,0.0
142,2022-01-23 11:25:18,1031.3,7.2,60,225,0.0
143,2022-01-23 11:35:18,1031.3,7.2,61,135,0.0
144,2022-01-23 11:44:18,1031.1,7.2,61,225,0.0
145,2022-01-23 11:54:25,1031.2,7.2,61,270,0.0
146,2022-01-23 12:03:27,1031.2,7.8,56,225,0.0
147,2022-01-23 12:13:17,1031.1,8.3,56,180,0.9
148,2022-01-23 12:22:17,1030.9,8.3,54,180,0.0
149,2022-01-23 12:32:18,1030.7,8.3,56,135,0.0
150,2022-01-23 12:42:16,1030.6,8.3,58,180,0.0
151,2022-01-23 12:51:18,1030.6,8.3,57,225,0.0
152,2022-01-23 13:01:17,1030.5,8.3,57,202,0.0
153,2022-01-23 13:10:17,1030.4,8.3,58,180,0.0
154,2022-01-23 13:19:19,1030.2,8.9,57,180,0.0
155,2022-01-23 13:29:18,1030.0,8.9,57,270,0.0
